name,link,orgnr,info1,info2,date,ort,revenue,employees
Skärholmen Sportbar AB,https://kreditrapporten.se/kreditupplysning/5591480677,5591480677,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Skärholmen</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 090 tkr - 4 anställda</div>",2020-01-15,Skärholmen,13 090 tkr, 4
AB Modulett Sverige,https://kreditrapporten.se/kreditupplysning/5590865886,5590865886,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-23 - Svängsta</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 082 tkr - 6 anställda</div>",2020-01-23,Svängsta,13 082 tkr, 6
Geo08 mätningsteknik AB,https://kreditrapporten.se/kreditupplysning/5568209497,5568209497,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-23 - Stockholm</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  13 016 tkr - 10 anställda</div>",2020-01-23,Stockholm,13 016 tkr, 10
Öltemplet AB,https://kreditrapporten.se/kreditupplysning/5590492434,5590492434,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - Enköping</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  11 990 tkr - 16 anställda</div>",2020-01-15,Enköping,11 990 tkr, 16
Ena Bygg & Schakt AB,https://kreditrapporten.se/kreditupplysning/5561328112,5561328112,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - Stockholm</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  11 815 tkr - 10 anställda</div>",2020-01-17,Stockholm,11 815 tkr, 10
WS Mobility AB,https://kreditrapporten.se/kreditupplysning/5568432347,5568432347,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-02 - Mölnlycke</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  11 550 tkr - 8 anställda</div>",2020-01-02,Mölnlycke,11 550 tkr, 8
Rikus & Anton Gruppen AB,https://kreditrapporten.se/kreditupplysning/5569923385,5569923385,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - Stockholm</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  11 232 tkr - 18 anställda</div>",2020-01-17,Stockholm,11 232 tkr, 18
FH Uppland AB,https://kreditrapporten.se/kreditupplysning/5567684484,5567684484,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-16 - Storvreta</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  10 531 tkr - 7 anställda</div>",2020-01-16,Storvreta,10 531 tkr, 7
SvH Västerås AB,https://kreditrapporten.se/kreditupplysning/5590042858,5590042858,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-16 - Västerås</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  10 417 tkr - 7 anställda</div>",2020-01-16,Västerås,10 417 tkr, 7
Sirius Ventilation AB,https://kreditrapporten.se/kreditupplysning/5569573826,5569573826,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-14 - Norsborg</div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  10 404 tkr - 13 anställda</div>",2020-01-14,Norsborg,10 404 tkr, 13
